Title,Color,Price,Rating,Offer
Apple iPhone 15,Black,66499,4.6,16.0
Apple iPhone 15,Blue,66499,4.6,16.0
Apple iPhone 15,Pink,66499,4.6,16.0
Apple iPhone 15,Green,66499,4.6,16.0
Apple iPhone 14,Starlight,56999,4.6,18.0
Apple iPhone 14,Midnight,56999,4.6,18.0
Apple iPhone 14,Purple,56999,4.6,18.0
Apple iPhone 14,Blue,56999,4.6,18.0
Apple iPhone 13,Pink,52999,4.7,11.0
Apple iPhone 13,Starlight,52999,4.7,11.0
Apple iPhone 15 Plus,Black,76499,4.6,14.0
Apple iPhone 13,Green,52999,4.7,11.0
Apple iPhone 13,Blue,52999,4.7,11.0
Apple iPhone 15 Plus,Pink,76499,4.6,14.0
Apple iPhone 15 Plus,Blue,76499,4.6,14.0
Apple iPhone 13,Midnight,52999,4.7,11.0
Apple iPhone 15,Blue,82999,4.6,7.0
Apple iPhone 15 Pro,Black Titanium,158990,4.7,3.0
Apple iPhone 15 Plus,Green,76499,4.6,14.0
Apple iPhone 15 Plus,Black,92999,4.6,6.0
Apple iPhone 14,Midnight,68999,4.6,13.0
Apple iPhone 15,Yellow,66499,4.6,16.0
Apple iPhone 15,Green,82999,4.6,7.0
Apple iPhone 14 Plus,Starlight,65999,4.6,17.0
Apple iPhone 14 Plus,(PRODUCT)RED,65999,4.6,17.0
Apple iPhone 14 Plus,Midnight,65999,4.6,17.0
Apple iPhone 15,Yellow,82999,4.6,7.0
Apple iPhone 15 Plus,Yellow,76499,4.6,14.0
Apple iPhone 15 Plus,Pink,92999,4.6,6.0
Apple iPhone 14,Purple,68999,4.6,13.0
Apple iPhone 12,Black,63999,4.6,1.0
Apple iPhone 14,(PRODUCT)RED,56999,4.6,18.0
Apple iPhone 14 Plus,Purple,65999,4.6,17.0
Apple iPhone 15,Black,82999,4.6,7.0
Apple iPhone 14 Plus,Yellow,65999,4.6,17.0
Apple iPhone 14,Yellow,56999,4.6,18.0
Apple iPhone 14,Starlight,68999,4.6,13.0
Apple iPhone 14 Plus,Blue,65999,4.6,17.0
Apple iPhone 15,Pink,82999,4.6,7.0
Apple iPhone 15 Plus,Blue,92999,4.6,6.0
Apple iPhone 15 Plus,Green,92999,4.6,6.0
Apple iPhone 15 Plus,Pink,112999,4.6,5.0
Apple iPhone 12,Black,44999,4.6,9.0
Apple iPhone 15 Pro,Natural Titanium,177990,4.7,3.0
Apple iPhone 14,Blue,68999,4.6,13.0
Apple iPhone 15 Plus,Yellow,92999,4.6,6.0
Apple iPhone 11,Purple,43900,4.6,5.0
Apple iPhone 15 Pro,White Titanium,127990,4.7,6.0
Apple iPhone 12,White,44999,4.6,9.0
Apple iPhone 12,Red,44999,4.6,9.0
Apple iPhone 11,Green,43900,4.6,5.0
Apple iPhone 11,Red,43900,4.6,9.0
Apple iPhone 15 Plus,Black,112999,4.6,3.0
Apple iPhone 12,Blue,44999,4.6,4.0
Apple iPhone 15 Pro,Black Titanium,177990,4.7,5.0
Apple iPhone 15 Pro,Black Titanium,137990,4.7,6.0
Apple iPhone 15 Pro,Natural Titanium,127990,4.7,12.0
Apple iPhone 11,Purple,48900,4.6,1.0
Apple iPhone 11,Yellow,48900,4.6,5.0
Apple iPhone 15 Pro Max,Blue Titanium,148900,4.6,12.0
Apple iPhone 15,Blue,96499,4.6,4.0
Apple iPhone 12,White,63999,4.6,12.0
Apple iPhone 15 Pro,Black Titanium,127990,4.7,6.0
Apple iPhone 14 Plus,Purple,95999,4.6,5.0
Apple iPhone 15 Pro,White Titanium,137990,4.7,7.0
Apple iPhone 14,(PRODUCT)RED,86999,4.6,7.0
Apple iPhone 15 Pro Max,White Titanium,148900,4.6,12.0
Apple iPhone 15 Plus,Yellow,112999,4.6,3.0
Apple iPhone 13,Pink,82999,4.7,12.0
Apple iPhone 12,Black,50999,4.6,5.0
Apple iPhone 15,Black,96499,4.6,12.0
Apple iPhone 15 Pro,Blue Titanium,177990,4.7,12.0
Apple iPhone 12,Blue,50999,4.6,7.0
Apple iPhone 15 Pro,Natural Titanium,158990,4.7,3.0
Apple iPhone 6 Plus,Silver,48999,4.5,31.0
Apple iPhone 12 Pro,Pacific Blue,109900,4.5,12.0
Apple iPhone 14,Midnight,86999,4.6,1.0
Apple iPhone 13 Pro Max,Graphite,179900,4.6,12.0
Apple iPhone 12,Purple,63999,4.6,12.0
Apple iPhone 14,Starlight,86999,4.6,6.0
Apple iPhone 14,Purple,86999,4.6,3.0
Apple iPhone 11,White,48900,4.6,3.0
Apple iPhone 15 Pro Max,Natural Titanium,148900,4.6,5.0
Apple iPhone 11,Black,43900,4.6,12.0
Apple iPhone 15 Pro,White Titanium,177990,4.7,6.0
Apple iPhone 13 Pro Max,Silver,179900,4.6,1.0
Apple iPhone 15 Pro,White Titanium,158990,4.7,5.0
Apple iPhone 15 Plus,Blue,112999,4.6,5.0
Apple iPhone XR,White,47900,4.6,3.0
Apple iPhone 15,Pink,96499,4.6,0.0
Apple iPhone 15 Pro Max,Black Titanium,148900,4.6,0.0
Apple iPhone 6s,Silver,29990,4.5,0.0
Apple iPhone 11,Red,48900,4.6,0.0
Apple iPhone 12,Blue,63999,4.6,0.0
Apple iPhone 15 Pro,Blue Titanium,127990,4.7,0.0
Apple iPhone 11,White,43900,4.6,0.0
Apple iPhone 15 Pro,Blue Titanium,137990,4.7,4.0
Apple iPhone 11,Green,48900,4.6,15.0
Apple iPhone 11,Black,48900,4.6,12.0
Apple iPhone 12 mini,White,59900,4.5,4.0
Apple iPhone 12 mini,Blue,59900,4.5,12.0
Apple iPhone 14 Plus,Purple,75999,4.6,7.0
Apple iPhone 14,Blue,86999,4.6,7.0
Apple iPhone 15 Pro,Natural Titanium,137990,4.7,7.0
Apple iPhone 15,Green,96499,4.6,7.0
Apple iPhone 13 Pro Max,Alpine Green,179900,4.6,35.0
Apple iPhone 13,Midnight,82999,4.7,7.0
Apple iPhone 12 Pro,Graphite,109900,4.5,15.0
Apple iPhone 13,(PRODUCT)RED,82999,4.7,12.0
Apple iPhone 6s Plus,Space Grey,72000,4.4,12.0
Apple iPhone 13,Green,82999,4.7,0.0
Apple iPhone 12 Pro Max,Pacific Blue,119900,4.5,0.0
Apple iPhone 11 Pro Max,Midnight Green,109900,4.7,0.0
Apple iPhone 13,Blue,82999,4.7,0.0
Apple iPhone 8 Plus,Gold,49900,4.6,0.0
Apple iPhone 13,Starlight,82999,4.7,0.0
Apple iPhone 5s,Space Grey,25000,4.4,0.0
Apple iPhone XS Max,Space Grey,109900,4.6,0.0
Apple iPhone 14 Plus,Yellow,75999,4.6,0.0
Apple iPhone 14 Plus,Yellow,95999,4.6,0.0
Apple iPhone 8,Silver,77000,4.5,22.0
Apple iPhone 8,Gold,77000,4.5,12.0
Apple iPhone 8 Plus,Space Grey,84900,4.6,7.0
Apple iPhone 8 Plus,Silver,84900,4.6,15.0
Apple iPhone 6,Gold,30780,4.4,12.0
Apple iPhone 5s,Silver,25000,4.4,13.0
Apple iPhone 8,Gold,39900,4.5,11.0
Apple iPhone 7 Plus,Gold,42900,4.5,9.0
Apple iPhone 6s Plus,Gold,34900,4.4,4.0
Infinix Smart 7 HD,Green Apple,6199,4.2,7.0
Apple iPhone 14,Yellow,86999,4.6,12.0
Apple iPhone 11,Yellow,48900,4.6,0.0
Apple iPhone 12,Black,50999,4.6,0.0
Apple iPhone 13 Pro Max,Graphite,179900,4.6,0.0
Apple iPhone 11,Red,48900,4.6,0.0
Apple iPhone 11 Pro Max,Midnight Green,109900,4.7,0.0
Apple iPhone 14 Plus,Yellow,75999,4.6,0.0
Apple iPhone 14 Plus,Yellow,95999,4.6,0.0
Apple iPhone 11 Pro,Gold,140300,4.6,0.0
Apple iPhone 14,Yellow,68999,4.6,0.0
Apple iPhone 13,(PRODUCT)RED,52999,4.7,0.0
Apple iPhone 12,Green,44999,4.6,0.0
Apple iPhone 14 Pro Max,Space Black,157999,4.6,0.0
Apple iPhone 12,Green,50999,4.6,0.0
Apple iPhone 12,Green,50999,4.6,7.0
Apple iPhone 11 Pro,Space Grey,140300,4.6,5.0
Apple iPhone 13 Pro,Sierra Blue,129900,4.7,9.0
Apple iPhone XS,Gold,89900,4.7,15.0
Apple iPhone 12 mini,Red,64900,4.5,13.0
Apple iPhone 13 Pro Max,Gold,179900,4.6,7.0
Apple iPhone SE 3rd Gen,Starlight,49900,4.4,5.0
Apple iPhone 13 Pro,Graphite,119900,4.7,39.0
Apple iPhone 14 Pro Max,Space Black,127999,4.6,13.0
Apple iPhone SE 3rd Gen,Starlight,54900,4.4,15.0
Apple iPhone 12,Purple,44999,4.6,0.0
Apple iPhone 14 Plus,Midnight,75999,4.6,0.0
Apple iPhone 13 Pro Max,Sierra Blue,179900,4.6,0.0
Apple iPhone 14,(PRODUCT)RED,68999,4.6,0.0
Apple iPhone 12 mini,Black,64900,4.5,0.0
Apple iPhone 12 Pro,Pacific Blue,119900,4.5,0.0
Apple iPhone 12 mini,Blue,64900,4.5,0.0
Apple iPhone SE 3rd Gen,Midnight,49900,4.4,0.0
Apple iPhone 12,White,50999,4.6,0.0
Apple iPhone 13 Pro,Gold,129900,4.7,0.0
Apple iPhone 15 Pro Max,Blue Titanium,188900,4.6,0.0
Apple iPhone 6 Plus,Silver,48999,4.5,0.0
Apple iPhone 6s Plus,Rose Gold,34900,4.4,0.0
Apple iPhone 13 mini,Pink,64900,4.5,0.0
Apple iPhone 12,Purple,50999,4.6,7.0
Apple iPhone 6s,Gold,49999,4.5,30.0
Apple iPhone 15 Pro Max,Black Titanium,168900,4.6,6.0
Apple iPhone 12 Pro,Silver,109900,4.5,6.0
Apple iPhone 12 Pro Max,Gold,129900,4.5,5.0
Apple iPhone 12 mini,Black,59900,4.5,9.0
Apple iPhone 11 Pro Max,Silver,150800,4.7,5.0
Apple iPhone 15 Pro Max,White Titanium,168900,4.6,38.0
Apple iPhone 12 mini,White,64900,4.5,9.0
Apple iPhone 13 Pro Max,Graphite,159900,4.6,3.0
Apple iPhone 14 Pro Max,Deep Purple,127999,4.6,57.0
Apple iPhone 13,Green,62999,4.7,57.0
Apple iPhone 15 Pro Max,Black Titanium,188900,4.6,7.0
Apple IPhone 4,White,13999,4.1,0.0
Apple iPhone SE,Black,44900,4.5,0.0
Apple iPhone 13,Midnight,62999,4.7,0.0
Apple iPhone 14 Pro Max,Silver,177999,4.6,0.0
Apple iPhone 5s,Gold,14999,4.4,0.0
Apple iPhone 12 Pro,Pacific Blue,139900,4.5,0.0
Apple iPhone 13 Pro,Alpine Green,169900,4.7,0.0
Apple iPhone 13 Pro,Alpine Green,149900,4.7,0.0
Apple iPhone 12 Pro,Gold,139900,4.5,0.0
Apple iPhone 13 Pro,Graphite,169900,4.7,0.0
Apple iPhone 13 Pro,Sierra Blue,149900,4.7,0.0
Apple iPhone 13 Pro Max,Sierra Blue,159900,4.6,7.0
Apple iPhone 13 Pro,Gold,169900,4.7,7.0
Apple iPhone 13 Pro Max,Silver,159900,4.6,0.0
Apple iPhone 12 Pro,Silver,139900,4.5,0.0
Apple iPhone 13 mini,Blue,94900,4.5,0.0
Apple iPhone 13 Pro Max,Alpine Green,159900,4.6,0.0
Apple iPhone 13 Pro Max,Graphite,139900,4.6,0.0
Apple iPhone 12 Pro,Graphite,139900,4.5,0.0
Apple iPhone 11 Pro,Midnight Green,140300,4.6,0.0
Apple iPhone XR,Coral,91900,4.6,0.0
Apple iPhone XR,Blue,91900,4.6,0.0
Apple iPhone 13 Pro Max,Alpine Green,139900,4.6,0.0
Apple iPhone 13 Pro,Silver,149900,4.7,0.0
Apple iPhone XR,Yellow,47900,4.6,0.0
Apple iPhone 13 Pro,Graphite,149900,4.7,0.0
Apple iPhone 7 Plus,Silver,85400,4.5,0.0
Apple iPhone XR,Blue,47900,4.6,0.0
Apple iPhone XR,Yellow,47900,4.6,0.0
Apple iPhone 11 Pro,Silver,140300,4.6,0.0
Apple iPhone XR,Blue,47900,4.6,0.0
Apple iPhone 13 Pro Max,Sierra Blue,139900,4.6,0.0
Apple iPhone XR,Blue,52900,4.6,0.0
Apple iPhone SE 3rd Gen,Product (Red),49900,4.4,0.0
Apple iPhone 12 Pro Max,Silver,149900,4.5,0.0
Apple iPhone 7 Plus,Gold,85400,4.5,7.0
Apple iPhone XR,Coral,52900,4.6,0.0
Apple iPhone 12 Pro Max,Graphite,149900,4.5,0.0
Apple iPhone 7,Gold,34900,4.5,0.0
Apple iPhone 7,Red,34900,4.5,0.0
Apple iPhone 12 mini,Green,59900,4.5,0.0
Apple iPhone 12 Pro,Gold,119900,4.5,0.0
Apple iPhone 13 mini,Starlight,74900,4.5,0.0
Apple iPhone XR,Yellow,52900,4.6,0.0
Apple iPhone XR,Yellow,52900,4.6,0.0
Apple iPhone 12 Pro Max,Gold,149900,4.5,0.0
Apple iPhone 12 Pro,Silver,119900,4.5,0.0
Apple iPhone XR,Coral,47900,4.6,0.0
Apple iPhone 12 mini,Red,59900,4.5,0.0
Apple iPhone 12 mini,Purple,64900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,52900,4.6,0.0
Apple iPhone 12 mini,Purple,59900,4.5,0.0
Apple iPhone 12 mini,Black,74900,4.5,0.0
Apple iPhone 12 mini,Green,74900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,47900,4.6,0.0
Apple iPhone 7,Silver,31500,4.5,0.0
Apple iPhone 7,Rose Gold,74400,4.5,0.0
Apple iPhone 12 mini,Red,74900,4.5,0.0
Apple iPhone XR,White,52900,4.6,0.0
Apple iPhone 7 Plus,Silver,37900,4.5,6.0
Apple iPhone 13 mini,Midnight,94900,4.5,26.0
Apple iPhone 13 mini,Pink,74900,4.5,31.0
Apple iPhone 6s,Rose Gold,55999,4.5,26.0
Apple iPhone SE,Red,54900,4.5,7.0
